SYMBOL
AAPL
MSFT
GOOG
AMZN
NVDA
V
UNH
XOM
LLY
JPM
JNJ
WMT
MA
PG
HD
CVX
ORCL
MRK
KO
PEP
BAC
COST
PFE
MCD
CRM
ACN
CSCO
TMO
ADBE
AMD
ABT
NFLX
LIN
DHR
DIS
NKE
CMCSA
TXN
TMUS
WFC
NEE
UPS
VZ
PM
MS
RTX
BMY
HON
INTC
QCOM
BA
AXP
COP
LOW
UNP
SPGI
INTU
IBM
CAT
AMGN
GE
LMT
SBUX
AMAT
ELV
MDT
ISRG
DE
T
GS
BX
SYK
BLK
MDLZ
SCHW
GILD
BKNG
ADI
C
TJX
CVS
ADP
MMC
VRTX
LRCX
REGN
MO
CB
CI
PGR
BSX
SO
MU
ETN
BDX
ITW
DUK
SNPS
NOC
EL
WM
SLB
CME
EOG
HUM
CSX
AON
MELI
ATVI
CL
KLAC
CDNS
APD
MNST
SHW
TGT
ICE
MCO
VMW
GD
CMG
MMM
EPD
FDX
SCCO
ORLY
NTES
MAR
HSY
FCX
OXY
MCK
MRVL
EW
BN
GIS
F
PNC
ECL
NSC
CTAS
ROP
USB
LULU
PXD
DXCM
MSI
EMR
BIDU
APH
KMB
RSG
SRE
LVS
STZ
KDP
AJG
AZO
PH
ADSK
TDG
BIIB
AEP
JCI
TFC
COF
MCHP
CPRT
D
HES
MET
AIG
TRV
AFL
ET
TEL
PAYX
VLO
EXC
TT
ADM
IDXX
MSCI
PCAR
DHI
YUM
ON
WMB
SYY
SGEN
CNC
NUE
LNG
ABC
ROST
ODFL
A
EA
XEL
AME
LHX
GWW
IBKR
BK
ROK
CSGP
NEM
PCG
DD
KR
PPG
FIS
ILMN
AMP
RMD
CTSH
LEN
ED
FAST
DVN
CMI
PEG
GOLD
PRU
HPQ
BKR
DLTR
MTD
CCEP
ALL
WBD
HAL
AWK
ANSS
DFS
NDAQ
WEC
IT
ZBH
VMC
WBA
GLW
ACGL
GPN
OKE
EFX
PWR
MLM
EIX
WST
TROW
URI
ALB
ES
ALNY
BIP
CBRE
STT
WTW
DAL
EBAY
MKC
VRSN
MPWR
TTWO
TSCO
ALGN
K
CHD
DTE
TECK
HRL
FSLR
RCL
HIG
CQP
FE
GPC
CAH
AEE
ULTA
ETR
BAX
MTB
IFF
GRMN
STE
ROL
RJF
CLX
DRI
FICO
PODD
DOV
PPL
HEI
HOLX
LH
LYV
TDY
FCNCA
NVR
OMC
MKL
ICLR
BRO
BR
CNP
TSN
LUV
JBHT
FITB
COO
WAB
BMRN
EXPD
BALL
CMS
RF
PFG
CAG
MOH
SWKS
TYL
ATO
STLD
PTC
ENTG
BBY
TER
UAL
SJM
CINF
IEX
HUBB
HBAN
NTRS
PHM
CPB
EXPE
FDS
WAT
BLDR
DGX
NTAP
CCL
EXAS
WRB
CHKP
IPG
MGM
AER
J
RVTY
WLK
LKQ
MRO
ZBRA
AXON
AKAM
RS
INCY
BG
SIRI
TAP
SNA
AES
RE
GGG
AVY
FMC
WSO
EVRG
L
EQT
TECH
LNT
NDSN
TXT
STX
WDC
POOL
BEN
CE
DECK
MMP
SWK
TRMB
CF
JBL
KMX
SRPT
SMCI
FLEX
MAS
GEN
DOX
PKG
CSL
MANH
WYNN
CHRW
ACM
VTRS
LDOS
BWA
JKHY
TFX
DKS
NI
BIO
MOS
LSCC
BAP
MTCH
WTRG
RPM
AZPN
DPZ
CHDN
TTC
CELH
MKTX
LII
QGEN
TPL
IP
BRKR
LECO
APA
CNA
AOS
CRL
OC
GL
DAR
UTHR
MTN
ERIE
PARA
PAG
JNPR
AFG
EMN
TPR
SCI
CGNX
UHAL
HSIC
AAL
RGA
CCK
PNR
KEY
FNF
RNR
PAA
RGEN
RRX
KNX
NBIX
DVA
AGCO
FFIV
UNM
MORN
PNW
OVV
SNX
BBWI
MASI
CASY
UHS
KBR
MTZ
HAS
DINO
XRAY
EME
JAZZ
CLH
TTEK
CHE
IEP
RGLD
SKX
SAIA
DLB
TX
IRDM
TOL
SEIC
NYCB
CLF
GPK
NATI
NRG
WSM
THC
WWE
WEX
RHI
GME
WCC
ATR
TXRH
MIDD
LBTYA
WHR
EWBC
RL
JEF
ALV
ARW
EDU
ORI
DCI
CIEN
OGE
INGR
JLL
VFC
CACI
OLED
IVZ
CAR
RMBS
G
CFR
ITT
CROX
LAD
RRC
WBS
BYD
WWD
OLN
PII
LSTR
FTI
AIZ
LFUS
FCN
COKE
MKSI
TPX
CW
MAT
ACHC
AMKR
GNTX
AN
CBSH
EHC
EXEL
AA
NOV
SF
HXL
PDCE
MHK
WOLF
CACC
TREX
NOVT
NYT
RBC
SON
SIGI
EXP
IONS
FHN
MUR
ALK
CHH
VMI
UGI
RLI
BOKF
XPO
QDEL
SEE
LNW
BC
PB
TKR
NXST
EEFT
WTS
MSA
LANC
FIX
SWN
COHR
DXC
SSD
CMA
FLO
PPC
OSK
CMC
IPGP
IDA
DDS
ACLS
AMG
IGT
PLUG
MSM
UFPI
EXLS
OPCH
ORA
AIT
ENSG
SSB
POWI
GTLS
AYI
MMS
MLCO
SLGN
RIG
ATI
IAC
X
AAON
TDC
ALKS
NJR
PVH
CWST
MMSI
NFG
ENLC
POR
EXPO
WEN
MDGL
HOG
ASH
HOMB
COLM
ABG
HRB
FLS
SLAB
HUN
FIZZ
COLB
TRTN
NSIT
FCFS
AXS
MTH
BPOP
NSP
ESGR
MLI
KEX
PRGO
MTG
FELE
HAE
ICUI
OZK
WU
HALO
THO
AJRD
LPX
SEB
GATX
